time,Listeners
2022-01-02 21:38:12.067573,4
2022-01-02 21:51:15.455755,4
2022-01-02 22:12:01.792774,4
2022-01-02 22:33:54.866785,4
2022-01-02 22:47:12.186952,4
2022-01-02 23:00:42.507141,4
2022-01-02 23:25:43.068143,4
2022-01-02 23:42:11.387636,4
2022-01-02 23:55:15.597473,4
2022-01-03 01:16:20.309864,5
2022-01-03 02:14:46.955216,5
2022-01-03 02:50:46.000709,5
2022-01-03 03:12:45.629291,5
2022-01-03 03:34:33.902872,5
2022-01-03 03:49:06.851246,5
2022-01-03 04:10:02.837555,5
2022-01-03 04:44:44.939577,5
2022-01-03 05:03:07.284662,5
2022-01-03 05:27:17.834091,5
2022-01-03 05:41:19.744880,5
2022-01-03 05:54:24.406775,5
2022-01-03 06:25:47.223465,5
2022-01-03 06:51:10.192407,5
2022-01-03 07:12:48.680878,5
2022-01-03 07:31:49.819256,5
2022-01-03 07:45:11.568504,5
2022-01-03 07:58:33.585377,6
2022-01-03 08:30:41.944213,6
2022-01-03 08:49:56.880561,6
2022-01-03 09:10:49.194132,5
2022-01-03 09:33:31.307410,5
2022-01-03 09:47:55.970267,5
2022-01-03 10:03:39.927860,5
2022-01-03 10:31:37.266599,5
2022-01-03 10:47:59.645471,5
2022-01-03 11:02:59.638283,5
2022-01-03 11:24:09.271421,5
2022-01-03 11:37:44.186449,5
2022-01-03 11:51:08.116513,5
2022-01-03 12:20:34.173413,4
2022-01-03 12:57:57.201984,4
2022-01-03 13:30:22.196236,5
2022-01-03 13:46:06.467760,5
2022-01-03 13:59:23.855749,4
2022-01-03 14:23:23.028951,3
2022-01-03 14:38:48.616834,3
2022-01-03 14:51:52.695744,3
2022-01-03 15:15:00.827173,4
2022-01-03 15:38:28.901995,4
2022-01-03 15:53:40.083791,4
2022-01-03 16:31:08.976236,4
2022-01-03 17:06:27.110026,4
2022-01-03 17:38:38.541585,4
2022-01-03 17:53:05.688210,4
2022-01-03 18:20:51.751586,4
2022-01-03 18:44:22.116237,4
2022-01-03 18:57:24.914908,3
2022-01-03 19:19:00.569548,3
2022-01-03 19:32:26.469109,3
2022-01-03 19:45:35.158300,3
2022-01-03 19:58:52.827179,3
2022-01-03 20:26:46.643754,3
2022-01-03 20:44:13.316402,3
2022-01-03 20:57:15.620745,4
2022-01-03 21:20:59.013525,3
2022-01-03 21:37:09.154823,3
2022-01-03 21:50:21.150776,3
2022-01-03 22:10:35.986151,3
2022-01-03 22:33:19.209399,3
2022-01-03 22:46:20.092133,3
2022-01-03 22:59:19.227790,4
2022-01-03 23:25:19.218587,4
2022-01-03 23:42:41.234335,4
2022-01-03 23:55:49.926720,4
2022-01-04 01:18:13.689488,4
2022-01-04 02:17:51.270719,4
2022-01-04 02:51:11.220908,4
2022-01-04 03:13:40.813134,4
2022-01-04 03:33:37.918134,4
2022-01-04 03:47:29.956687,4
2022-01-04 04:00:47.101674,4
2022-01-04 04:35:55.685997,4
2022-01-04 04:58:37.233089,4
2022-01-04 05:24:13.493731,4
2022-01-04 05:39:31.905905,4
2022-01-04 05:52:33.534822,4
2022-01-04 06:19:42.452713,4
2022-01-04 06:44:48.057930,4
2022-01-04 06:57:51.374354,4
2022-01-04 07:22:59.377970,4
2022-01-04 07:38:03.837142,4
2022-01-04 07:51:12.538895,4
2022-01-04 08:16:08.900671,3
2022-01-04 08:40:58.466325,3
2022-01-04 08:54:29.898913,3
2022-01-04 09:21:22.422448,3
2022-01-04 09:39:46.499403,3
2022-01-04 09:52:56.450476,2
2022-01-04 10:18:44.154456,2
2022-01-04 10:39:17.565012,3
2022-01-04 10:52:21.751482,3
2022-01-04 11:12:56.496029,2
2022-01-04 11:29:38.395866,1
2022-01-04 11:42:51.587778,2
2022-01-04 11:56:20.519615,2
2022-01-04 12:38:32.111393,2
2022-01-04 13:35:50.610213,2
2022-01-04 13:48:56.040035,2
2022-01-04 14:06:41.920830,2
2022-01-04 14:27:40.626364,2
2022-01-04 14:41:41.757788,2
2022-01-04 14:54:43.130337,2
2022-01-04 15:22:59.453691,2
2022-01-04 15:44:51.351093,2
2022-01-04 15:57:52.322096,2
2022-01-04 16:39:47.052650,2
2022-01-04 17:11:50.961281,2
2022-01-04 17:41:32.887210,2
2022-01-04 17:54:38.836826,2
2022-01-04 18:25:32.194320,2
2022-01-04 18:49:17.360792,2
2022-01-04 19:07:19.164845,2
2022-01-04 19:24:08.014659,2
2022-01-04 19:37:26.569906,2
2022-01-04 19:50:28.509230,2
2022-01-04 20:12:22.500171,2
2022-01-04 20:34:23.974378,2
2022-01-04 20:47:45.140292,3
2022-01-04 21:01:57.000876,3
2022-01-04 21:24:08.752804,3
2022-01-04 21:39:28.424532,4
2022-01-04 21:52:43.923727,4
2022-01-04 22:16:22.637483,4
2022-01-04 22:36:10.273582,4
2022-01-04 22:49:32.760429,4
2022-01-04 23:08:59.471615,4
2022-01-04 23:31:39.031921,4
2022-01-04 23:45:46.282449,4
2022-01-04 23:58:53.392618,4
2022-01-05 01:23:16.154128,4
2022-01-05 02:23:26.313518,4
2022-01-05 02:56:03.378340,5
2022-01-05 03:25:01.528556,5
2022-01-05 03:44:27.612111,5
2022-01-05 03:57:28.422797,5
2022-01-05 04:32:40.149364,5
2022-01-05 04:57:08.225716,5
2022-01-05 05:23:26.768529,5
2022-01-05 05:39:02.653237,5
2022-01-05 05:52:07.099323,5
2022-01-05 06:18:41.924679,5
2022-01-05 06:44:29.351092,5
2022-01-05 06:58:03.554894,5
2022-01-05 07:23:15.164776,5
